word	syllable	quant	duration	lineEnding	breathEnding	rhymeClass	rhymeIndex
body	bo-	16	1	0	0	NA	NA
body	dy	16	1	0	0	NA	NA
like	like	16	1	0	0	NA	NA
a	a	16	1	0	0	NA	NA
hoe	hoe	16	2	0	1	9	1
coochie	coo-	16	1	0	0	NA	NA
coochie	chie	16	1	0	0	NA	NA
so	so	16	2	1	1	9	1
from	from	16	1	0	0	NA	NA
niggaz	nig-	16	1	0	0	NA	NA
niggaz	gaz	16	1	0	0	NA	NA
constantly	con-	16	1	0	0	NA	NA
constantly	stant-	16	1	0	0	NA	NA
constantly	ly	16	1	0	0	NA	NA
fuckin	fuck-	16	1	0	0	NA	NA
fuckin	in	16	1	0	0	NA	NA
her	her	16	1	0	0	NA	NA
never	ne-	16	1	0	0	NA	NA
never	ver	16	1	0	0	NA	NA
lovin	lov-	16	1	0	0	NA	NA
lovin	in	16	1	0	0	NA	NA
her	her	16	1	0	0	NA	NA
never	ne-	16	1	0	0	NA	NA
never	ver	16	1	0	0	NA	NA
showin	show-	16	1	0	0	9	1
showin	in	16	1	1	0	NA	NA
appreciation	ap-	16	1	0	0	NA	NA
appreciation	pre-	16	1	0	0	NA	NA
appreciation	ci-	16	1	0	0	NA	NA
appreciation	a-	16	1	0	0	NA	NA
appreciation	tion	16	1	0	0	NA	NA
bustin	bus-	16	1	0	0	NA	NA
bustin	tin	16	1	0	0	NA	NA
nuts	nuts	16	1	0	0	10	1
in	in	16	1	0	0	NA	NA
her	her	16	1	0	0	NA	NA
face	face	16	1	0	0	NA	NA
when	when	16	1	0	0	NA	NA
they	they	16	1	0	0	NA	NA
done	done	16	1	1	1	10	1
