lineEnding	breathEnding	word	syllable	quant	duration	rhymeClass	rhymeIndex
1	0	the	the	16	1	NA	NA
0	0	candy	cand-	16	1	7	1
0	0	candy	y	16	1	NA	NA
0	0	lady	lad-	16	1	7	2
0	1	lady	y	16	2	NA	NA
0	0	it's	it's	16	1	NA	NA
0	0	lookin'	loo-	16	1	NA	NA
0	0	lookin'	kin'	16	1	NA	NA
0	0	bad	bad	16	2	NA	NA
0	0	need	need	16	1	NA	NA
0	0	some	some	16	1	NA	NA
0	0	hope	hope	16	2	NA	NA
0	0	like	like	16	1	NA	NA
1	0	the	the	16	1	NA	NA
0	0	words	words	16	2	NA	NA
0	0	maybe	may-	16	1	7	1
0	1	maybe	be	16	3	7	2
0	1	if	if	16	3	NA	NA
0	0	or	or	16	1	NA	NA
0	0	probably	pro-	16	1	8	1
0	1	probably	bly	16	2	8	2
0	0	more	more	16	1	NA	NA
0	0	than	than	16	1	NA	NA
1	0	a	a	16	1	NA	NA
0	0	hobby	hob-	16	1	8	1
0	0	hobby	by	16	1	8	2
0	0	when	when	16	1	NA	NA
0	0	my	my	16	1	NA	NA
0	0	turntables	turn-	16	1	NA	NA
0	0	turntables	tab-	16	1	NA	NA
0	0	turntables	les	16	1	NA	NA
0	0	get	get	16	1	NA	NA
0	0	wobbly	wob-	16	1	8	1
0	0	wobbly	bly	16	1	8	2
0	0	they	they	16	1	NA	NA
0	0	don't	don't	16	1	NA	NA
1	1	fall	fall	16	3	9	1
0	0	i'm	i'm	16	1	NA	NA
0	0	sorry	sor-	16	1	NA	NA
0	0	sorry	ry	16	1	NA	NA
0	1	y'all	y'all	16	3	9	1
0	0	i	i	16	1	NA	NA
0	0	often	of-	16	1	NA	NA
0	0	often	ten	16	1	NA	NA
0	1	drift	drift	16	3	10	1
0	0	i'm	i'm	16	1	NA	NA
0	0	talkin'	talk-	16	1	NA	NA
1	0	talkin'	in'	16	1	NA	NA
0	0	gift	gift	16	1	10	1
0	0	so	so	16	1	NA	NA
0	0	when	when	16	1	NA	NA
0	0	it	it	16	1	NA	NA
0	0	comes	comes	16	1	NA	NA
0	0	you	you	16	1	NA	NA
0	0	never	ne-	16	1	NA	NA
0	0	never	ver	16	1	NA	NA
0	0	look	look	16	1	NA	NA
0	0	the	the	16	1	NA	NA
0	0	horse	horse	16	1	NA	NA
0	0	inside	in-	16	1	NA	NA
0	0	inside	side	16	1	NA	NA
0	0	it's	it's	16	1	NA	NA
1	1	grill	grill	16	3	11	1
0	0	of	of	16	1	NA	NA
0	0	course	course	16	1	NA	NA
0	0	you	you	16	1	NA	NA
0	0	know	know	16	1	NA	NA
0	0	i	i	16	1	NA	NA
0	0	feel	feel	16	2	11	1
0	0	like	like	16	1	NA	NA
0	0	the	the	16	1	NA	NA
0	0	bearer	bear-	16	1	NA	NA
0	1	bearer	er	16	2	NA	NA
0	0	of	of	16	1	NA	NA
0	0	bad	bad	16	2	12	1
1	1	news	news	16	3	12	2
0	0	don't	don't	16	1	NA	NA
0	0	want	want	16	1	NA	NA
0	0	to	to	16	1	NA	NA
0	0	be	be	16	1	NA	NA
0	0	it	it	16	1	NA	NA
0	0	but	but	16	1	NA	NA
0	0	it's	it's	16	1	NA	NA
0	0	needed	need-	16	1	NA	NA
0	1	needed	ed	16	1	NA	NA
0	0	so	so	16	1	NA	NA
0	0	what	what	16	1	NA	NA
0	0	have	have	16	2	12	1
1	1	you	you	16	1	12	2
0	0	now	now	16	1	NA	NA
0	0	question	quest-	16	1	NA	NA
0	1	question	ion	16	2	NA	NA
0	0	is	is	16	1	NA	NA
0	0	every	ev-	16	1	NA	NA
0	0	every	ry	16	1	NA	NA
0	0	nigga	nig-	24	1	13	1
0	0	nigga	ga	24	1	13	2
0	0	with	with	24	1	13	3
0	0	dreads	dreads	16	2	13	4
0	0	for	for	16	1	13	5
0	0	the	the	16	1	13	6
1	1	cause	cause	16	7	13	7
0	0	is	is	16	1	NA	NA
0	0	every	ev-	16	1	NA	NA
0	0	every	ry	16	1	NA	NA
0	0	nigga	nig-	24	1	13	1
0	0	nigga	ga	24	1	13	2
0	0	with	with	24	1	13	3
0	0	golds	golds	16	2	13	4
0	0	for	for	16	1	13	5
0	0	the	the	16	1	13	6
1	1	fall	fall	16	4	13	7
0	1	naw	naw	16	3	NA	NA
0	0	so	so	16	1	NA	NA
0	0	don't	don't	16	1	NA	NA
0	0	get	get	16	1	NA	NA
0	0	caught	caught	16	1	NA	NA
0	0	up	up	16	1	NA	NA
0	0	in	in	16	1	NA	NA
0	0	appearance	ap-	16	1	14	1
0	0	appearance	pear-	16	1	14	2
1	1	appearance	ance	16	3	14	3
0	0	it's	it's	16	1	NA	NA
0	0	outkast	out-	16	1	NA	NA
0	0	outkast	kast	16	1	NA	NA
0	0	aquemini	a-	16	1	NA	NA
0	0	aquemini	que-	16	1	NA	NA
0	0	aquemini	mi-	16	1	NA	NA
0	1	aquemini	ni	16	1	NA	NA
0	0	another	a-	16	1	NA	NA
0	0	another	no-	16	1	NA	NA
0	0	another	ther	16	1	NA	NA
0	0	black	black	16	1	NA	NA
0	0	experience	ex-	16	1	14	1
0	0	experience	per-	32	1	14	2
0	0	experience	i-	32	1	NA	NA
1	1	experience	ence	16	1	14	3
